<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURUSD,D,19950906,000000,1.2785,1.2785,1.2635,1.2665,0,0
EURUSD,D,19950907,000000,1.2665,1.2704,1.2645,1.2645,0,0
EURUSD,D,19950908,000000,1.2645,1.269,1.2584,1.2685,0,0
EURUSD,D,19950911,000000,1.273,1.2751,1.2684,1.2688,0,0
EURUSD,D,19950912,000000,1.2677,1.272,1.2663,1.2682,0,0
EURUSD,D,19950913,000000,1.2682,1.2682,1.252,1.2566,0,0
EURUSD,D,19950914,000000,1.2566,1.2635,1.2501,1.26,0,0
EURUSD,D,19950915,000000,1.2605,1.2626,1.2516,1.2608,0,0
EURUSD,D,19950918,000000,1.2586,1.2657,1.256,1.2635,0,0
EURUSD,D,19950919,000000,1.2637,1.266,1.2575,1.2597,0,0
EURUSD,D,19950920,000000,1.2597,1.2795,1.2597,1.2757,0,0
EURUSD,D,19950921,000000,1.2757,1.2972,1.2744,1.2972,0,0
EURUSD,D,19950922,000000,1.2972,1.3096,1.2972,1.2995,0,0
EURUSD,D,19950925,000000,1.2995,1.2995,1.2924,1.2927,0,0
EURUSD,D,19950926,000000,1.2927,1.2952,1.2867,1.2919,0,0
EURUSD,D,19950927,000000,1.2925,1.3047,1.2921,1.2995,0,0
EURUSD,D,19950928,000000,1.3009,1.3066,1.298,1.3035,0,0
EURUSD,D,19950929,000000,1.3033,1.3074,1.293,1.2966,0,0
EURUSD,D,19951002,000000,1.2966,1.2982,1.2912,1.298,0,0
EURUSD,D,19951003,000000,1.2958,1.2981,1.2835,1.2879,0,0
EURUSD,D,19951004,000000,1.2859,1.2932,1.2834,1.2905,0,0
EURUSD,D,19951005,000000,1.2915,1.2953,1.2825,1.2941,0,0
EURUSD,D,19951006,000000,1.2941,1.2946,1.28,1.288,0,0
EURUSD,D,19951009,000000,1.288,1.2985,1.288,1.295,0,0
EURUSD,D,19951010,000000,1.295,1.296,1.2888,1.2925,0,0
EURUSD,D,19951011,000000,1.2925,1.295,1.2825,1.2891,0,0
EURUSD,D,19951012,000000,1.2891,1.2985,1.287,1.2978,0,0
EURUSD,D,19951013,000000,1.296,1.3002,1.2865,1.2929,0,0
EURUSD,D,19951016,000000,1.2947,1.2986,1.2923,1.293,0,0
EURUSD,D,19951017,000000,1.293,1.2978,1.291,1.296,0,0
EURUSD,D,19951018,000000,1.297,1.3017,1.2854,1.2904,0,0
EURUSD,D,19951019,000000,1.2918,1.3042,1.2902,1.3015,0,0
EURUSD,D,19951020,000000,1.3015,1.312,1.298,1.3083,0,0
EURUSD,D,19951023,000000,1.3058,1.3208,1.3058,1.3135,0,0
EURUSD,D,19951024,000000,1.3138,1.3179,1.3069,1.3089,0,0
EURUSD,D,19951025,000000,1.3089,1.3146,1.305,1.3094,0,0
EURUSD,D,19951026,000000,1.3094,1.3135,1.2958,1.3093,0,0
EURUSD,D,19951027,000000,1.3122,1.3185,1.3023,1.3032,0,0
EURUSD,D,19951030,000000,1.302,1.3078,1.298,1.3035,0,0
EURUSD,D,19951031,000000,1.3045,1.308,1.2968,1.3005,0,0
EURUSD,D,19951101,000000,1.3041,1.3041,1.293,1.2958,0,0
EURUSD,D,19951102,000000,1.2953,1.2965,1.2884,1.2899,0,0
EURUSD,D,19951103,000000,1.2926,1.297,1.2872,1.2928,0,0
EURUSD,D,19951106,000000,1.2925,1.2994,1.29,1.2957,0,0
EURUSD,D,19951107,000000,1.2976,1.2981,1.291,1.2957,0,0
EURUSD,D,19951108,000000,1.2935,1.2988,1.2915,1.2922,0,0
EURUSD,D,19951109,000000,1.2954,1.304,1.289,1.3035,0,0
EURUSD,D,19951110,000000,1.304,1.304,1.2893,1.291,0,0
EURUSD,D,19951113,000000,1.2923,1.3001,1.286,1.2905,0,0
EURUSD,D,19951114,000000,1.292,1.299,1.2895,1.2955,0,0
EURUSD,D,19951115,000000,1.299,1.3075,1.299,1.3001,0,0
EURUSD,D,19951116,000000,1.303,1.3032,1.2966,1.2999,0,0
EURUSD,D,19951117,000000,1.3021,1.3085,1.3012,1.3085,0,0
EURUSD,D,19951120,000000,1.3005,1.3038,1.2897,1.3023,0,0
EURUSD,D,19951121,000000,1.302,1.3029,1.298,1.3014,0,0
EURUSD,D,19951122,000000,1.3027,1.3049,1.2961,1.3013,0,0
EURUSD,D,19951123,000000,1.3019,1.3041,1.2984,1.2996,0,0
EURUSD,D,19951124,000000,1.2995,1.3061,1.297,1.2988,0,0
