,time,low,high,open,close,volume
164,1608840000,23264.65,23556.43,23299.87,23523.19,409.57880698
165,1608836400,23268.13,23412.59,23321.33,23298.81,260.72876599
166,1608832800,23283.91,23426.0,23384.32,23321.33,478.97367242
167,1608829200,23169.49,23470.0,23230.36,23386.44,646.57424841
168,1608825600,23116.67,23350.0,23233.26,23228.45,624.86364567
169,1608822000,23083.81,23295.78,23221.77,23231.89,2714.6290423
170,1608818400,23161.97,23427.5,23387.44,23223.78,673.49559521
171,1608814800,23136.45,23399.99,23206.44,23384.19,466.20585909
172,1608811200,23021.76,23297.66,23216.01,23216.0,598.16458884
173,1608807600,23050.09,23286.79,23115.93,23216.04,392.22090408
174,1608804000,23123.62,23344.64,23344.64,23125.69,303.22613156
175,1608800400,23252.51,23461.35,23441.92,23342.09,401.01125392
176,1608796800,23065.13,23472.11,23168.19,23439.19,506.0115059
177,1608793200,22835.05,23217.17,22938.43,23168.2,503.40149975
178,1608789600,22871.86,23142.13,23053.44,22936.98,414.17039295
179,1608786000,22913.33,23138.43,23022.96,23056.49,573.8872301
180,1608782400,22792.1,23043.94,22887.8,23022.96,528.02075543
181,1608778800,22712.89,22961.24,22806.87,22886.8,798.18218703
182,1608775200,22750.0,23227.0,23204.75,22809.99,908.96823227
183,1608771600,22862.22,23207.78,23064.42,23204.75,826.78763768
184,1608768000,22791.5,23232.69,23226.18,23064.42,1368.85309441
185,1608764400,23163.53,23473.0,23284.95,23228.35,899.64255001
186,1608760800,22600.0,23379.61,23299.22,23284.96,2467.08231684
187,1608757200,23144.0,23501.08,23483.23,23299.97,1088.4206824
188,1608753600,23403.01,23620.68,23541.91,23488.3,902.16342307
189,1608750000,23486.43,23606.7,23603.61,23541.91,697.83177393
190,1608746400,23550.78,23678.87,23595.47,23603.62,623.65208576
191,1608742800,23350.0,23640.46,23399.01,23595.48,788.90223936
192,1608739200,23376.0,23648.41,23449.53,23399.0,1246.38508876
193,1608735600,23333.35,23887.46,23755.99,23449.53,1042.38200453
194,1608732000,23532.46,23821.78,23599.68,23755.99,739.23513997
195,1608728400,23449.43,24090.0,23845.24,23599.66,1792.38513656
196,1608724800,22938.59,23850.0,23073.17,23845.35,1622.69191248
197,1608721200,22808.73,23456.15,23423.52,23078.83,2174.20709548
198,1608717600,23383.71,23722.96,23622.49,23423.52,681.1914645
199,1608714000,23416.55,23651.18,23485.07,23620.51,279.05309039
200,1608710400,23433.91,23655.46,23545.25,23486.8,338.9639883
201,1608706800,23311.01,23622.31,23482.86,23545.51,454.61035426
202,1608703200,23425.01,23590.63,23507.44,23489.78,419.5107925
203,1608699600,23326.08,23519.61,23437.24,23510.68,934.04942302
204,1608696000,23419.29,23693.01,23691.59,23437.26,747.57044325
205,1608692400,23602.58,23771.34,23627.01,23691.59,609.0044221
206,1608688800,23559.98,23726.68,23693.82,23627.01,765.43881445
207,1608685200,23636.97,24042.0,23981.46,23694.7,1169.38374736
208,1608681600,23710.01,24000.0,23824.13,23981.46,928.36373095
209,1608678000,23643.08,23839.78,23723.62,23823.27,920.08459405
210,1608674400,23350.0,23769.99,23440.9,23723.66,661.28271846
211,1608670800,23329.33,23542.19,23436.72,23440.9,1127.32271977
212,1608667200,23288.65,23451.04,23409.97,23436.66,790.75920242
213,1608663600,23323.62,23520.7,23435.25,23409.97,669.31708765
214,1608660000,23341.36,23519.76,23341.59,23434.72,605.00267544
215,1608656400,23232.53,23434.96,23349.79,23341.58,842.84893694
216,1608652800,23221.69,23500.0,23342.06,23348.71,1001.91046782
217,1608649200,23295.64,23620.56,23439.18,23345.43,1513.07247289
218,1608645600,23333.81,23628.34,23487.05,23439.56,1167.27316514
219,1608642000,23112.02,23537.13,23182.43,23487.05,904.59381974
220,1608638400,23071.11,23290.0,23119.1,23182.44,690.76890449
221,1608634800,22699.94,23151.92,22699.94,23119.1,555.5153733
222,1608631200,22615.0,22816.15,22779.22,22699.94,356.23114414
223,1608627600,22592.16,22809.29,22685.85,22779.32,470.50369775
224,1608624000,22380.05,22738.08,22653.67,22681.95,933.00967535
225,1608620400,22501.0,22827.21,22747.79,22652.39,537.43965653
226,1608616800,22560.0,22864.97,22685.9,22747.79,470.422732
227,1608613200,22568.22,22971.62,22955.56,22685.35,590.37588244
228,1608609600,22861.17,23072.27,22861.17,22955.56,447.96535199
229,1608606000,22739.83,22978.63,22966.11,22861.09,584.92050043
230,1608602400,22744.0,22966.11,22769.28,22964.8,782.81125205
231,1608598800,22501.0,22893.38,22580.0,22768.35,941.5742728
232,1608595200,22512.24,22941.87,22729.4,22580.0,1032.64492671
233,1608591600,22710.72,23235.8,23179.29,22729.4,968.19961103
234,1608588000,23099.48,23243.51,23150.0,23181.98,499.37284586
235,1608584400,22778.78,23170.27,22842.4,23149.95,1027.2427543
236,1608580800,22762.79,22940.05,22827.07,22842.41,632.19368975
237,1608577200,22703.58,22952.55,22821.83,22825.04,782.83428429
238,1608573600,22670.12,22980.0,22725.88,22821.82,1049.69381274
239,1608570000,22667.77,23261.05,23234.55,22725.88,1528.05781361
240,1608566400,22993.09,23354.74,23125.89,23235.59,1248.03980581
241,1608562800,22890.14,23243.88,23191.13,23126.53,1213.43246232
