,id,base_currency,quote_currency,base_min_size,base_max_size,quote_increment,base_increment,display_name,min_market_funds,max_market_funds,margin_enabled,post_only,limit_only,cancel_only,trading_disabled,status,status_message
31,XLM-USD,XLM,USD,1.00000000,600000.00000000,0.00000100,1.00000000,XLM/USD,0.1,100000,False,False,False,False,False,online,
32,LRC-BTC,LRC,BTC,1.00000000,440000.00000000,0.00000001,1.00000000,LRC/BTC,0.0001,6.0,False,False,False,False,False,online,
33,NMR-EUR,NMR,EUR,0.01000000,3900.00000000,0.00010000,0.00100000,NMR/EUR,1.0,100000,False,False,False,False,False,online,
34,NMR-USD,NMR,USD,0.01000000,3900.00000000,0.00010000,0.00100000,NMR/USD,1.0,100000,False,False,False,False,False,online,
35,BAND-GBP,BAND,GBP,0.10000000,18000.00000000,0.00010000,0.01000000,BAND/GBP,1.0,100000,False,False,False,False,False,online,
36,UMA-EUR,UMA,EUR,0.01000000,4500.00000000,0.00100000,0.00100000,UMA/EUR,1.0,100000,False,False,False,False,False,online,
37,CVC-USDC,CVC,USDC,1.00000000,2000000.00000000,0.00000100,1.00000000,CVC/USDC,0.1,100000,False,False,True,False,False,online,
38,ZRX-USD,ZRX,USD,1.00000000,600000.00000000,0.00000100,0.00001000,ZRX/USD,10,100000,False,False,False,False,False,online,
39,YFI-BTC,YFI,BTC,0.00001000,4.20000000,0.00001000,0.00000100,YFI/BTC,0.0001,6.0,False,False,False,False,False,online,
40,WBTC-USD,WBTC,USD,0.00010000,10.00000000,0.01000000,0.00000001,WBTC/USD,1.0,100000,False,False,True,False,False,online,
41,OMG-USD,OMG,USD,1.00000000,500000.00000000,0.00010000,0.10000000,OMG/USD,1,100000,False,False,False,False,False,online,
42,ZEC-USDC,ZEC,USDC,0.01000000,5000.00000000,0.01000000,0.00000001,ZEC/USDC,10,250000,False,False,False,False,False,online,
43,BCH-GBP,BCH,GBP,0.01000000,250.00000000,0.01000000,0.00000001,BCH/GBP,10,500000,False,False,False,False,False,online,
44,ZEC-BTC,ZEC,BTC,0.01000000,1500.00000000,0.00000100,0.00010000,ZEC/BTC,0.001,30,False,False,False,False,False,online,
45,DAI-USDC,DAI,USDC,1.00000000,100000.00000000,0.00000100,0.00001000,DAI/USDC,5,100000,False,False,True,False,False,online,
46,SNX-GBP,SNX,GBP,0.10000000,19000.00000000,0.00010000,0.00100000,SNX/GBP,1.0,82000,False,False,False,False,False,online,
47,ETC-EUR,ETC,EUR,0.10000000,20000.00000000,0.00100000,0.00000001,ETC/EUR,10,100000,False,False,False,False,False,online,
48,DASH-USD,DASH,USD,0.01000000,1500.00000000,0.00100000,0.00100000,DASH/USD,1,100000,False,False,False,False,False,online,
49,NU-EUR,NU,EUR,10.00000000,1300000.00000000,0.00010000,0.00000100,NU/EUR,1.0,84000,False,False,False,False,False,online,
50,BTC-EUR,BTC,EUR,0.00100000,200.00000000,0.01000000,0.00000001,BTC/EUR,10,600000,False,False,False,False,False,online,
51,REP-USD,REP,USD,0.10000000,5000.00000000,0.01000000,0.00000100,REP/USD,10,30000,False,False,False,False,False,online,
52,LINK-ETH,LINK,ETH,1.00000000,90000.00000000,0.00000001,0.01000000,LINK/ETH,0.01,400,False,False,False,False,False,online,
53,LOOM-USDC,LOOM,USDC,1.00000000,2500000.00000000,0.00000100,1.00000000,LOOM/USDC,0.1,100000,False,False,True,False,False,online,
54,UNI-BTC,UNI,BTC,0.10000000,25000.00000000,0.00000001,0.10000000,UNI/BTC,0.0001,6.0,False,False,True,False,False,online,
55,MKR-BTC,MKR,BTC,0.00100000,240.00000000,0.00001000,0.00000100,MKR/BTC,0.0001,11,False,False,False,False,False,online,
56,BAT-ETH,BAT,ETH,1.00000000,300000.00000000,0.00000001,1.00000000,BAT/ETH,0.01,500,False,False,False,False,False,online,
57,GNT-USDC,GNT,USDC,1.00000000,1500000.00000000,0.00000100,1.00000000,GNT/USDC,0.01,100000,False,False,True,False,False,online,
58,BAL-USD,BAL,USD,0.10000000,6700.00000000,0.00001000,0.00100000,BAL/USD,1.0,100000,False,False,False,False,False,online,
59,OXT-USD,OXT,USD,1.00000000,500000.00000000,0.00010000,1.00000000,OXT/USD,1,100000,False,False,False,False,False,online,
60,AAVE-GBP,AAVE,GBP,0.01000000,1200.00000000,0.00100000,0.00100000,AAVE/GBP,1.0,82000,False,False,True,False,False,online,
61,XRP-GBP,XRP,GBP,1.00000000,500000.00000000,0.00010000,0.00000100,XRP/GBP,10,100000,False,False,True,False,False,online,
62,ETH-GBP,ETH,GBP,0.01000000,1400.00000000,0.01000000,0.00000001,ETH/GBP,10,1000000,False,False,False,False,False,online,
63,SNX-USD,SNX,USD,0.10000000,19000.00000000,0.00010000,0.00100000,SNX/USD,1.0,100000,False,False,False,False,False,online,
64,OMG-EUR,OMG,EUR,1.00000000,500000.00000000,0.00010000,0.10000000,OMG/EUR,1,100000,False,False,False,False,False,online,
65,BNT-EUR,BNT,EUR,1.00000000,95000.00000000,0.00010000,0.00000100,BNT/EUR,1.0,92000,False,False,False,False,False,online,
66,LINK-EUR,LINK,EUR,1.00000000,90000.00000000,0.00001000,0.01000000,LINK/EUR,10,100000,False,False,False,False,False,online,
67,UMA-GBP,UMA,GBP,0.01000000,4500.00000000,0.00100000,0.00100000,UMA/GBP,1.0,100000,False,False,False,False,False,online,
68,XRP-USD,XRP,USD,1.00000000,500000.00000000,0.00010000,0.00000100,XRP/USD,10,100000,False,False,True,False,False,online,
69,BNT-BTC,BNT,BTC,1.00000000,95000.00000000,0.00000001,1.00000000,BNT/BTC,0.0001,5.1,False,False,False,False,False,online,
70,XRP-BTC,XRP,BTC,1.00000000,500000.00000000,0.00000001,1.00000000,XRP/BTC,0.001,30,False,False,True,False,False,online,
71,BCH-USD,BCH,USD,0.01000000,700.00000000,0.01000000,0.00000001,BCH/USD,10,500000,False,False,False,False,False,online,
72,FIL-USD,FIL,USD,0.01000000,3400.00000000,0.00010000,0.00100000,FIL/USD,1.0,100000,False,False,False,False,False,online,
73,NMR-GBP,NMR,GBP,0.01000000,3900.00000000,0.00010000,0.00100000,NMR/GBP,1.0,100000,False,False,False,False,False,online,
74,OMG-BTC,OMG,BTC,1.00000000,150000.00000000,0.00000001,0.10000000,OMG/BTC,0.001,500,False,False,False,False,False,online,
75,NU-BTC,NU,BTC,10.00000000,1300000.00000000,0.00000001,1.00000000,NU/BTC,0.0001,6,False,False,False,False,False,online,
76,LINK-USD,LINK,USD,1.00000000,90000.00000000,0.00001000,0.01000000,LINK/USD,10,100000,False,False,False,False,False,online,
77,UMA-USD,UMA,USD,0.01000000,4500.00000000,0.00100000,0.00100000,UMA/USD,1.0,100000,False,False,False,False,False,online,
78,BAL-BTC,BAL,BTC,0.10000000,6700.00000000,0.00000001,0.01000000,BAL/BTC,0.0001,10,False,False,False,False,False,online,
79,ETH-USD,ETH,USD,0.01000000,2800.00000000,0.01000000,0.00000001,ETH/USD,5,1000000,False,False,False,False,False,online,
80,BTC-GBP,BTC,GBP,0.00100000,80.00000000,0.01000000,0.00000001,BTC/GBP,10,200000,False,False,False,False,False,online,
81,XTZ-EUR,XTZ,EUR,1.00000000,100000.00000000,0.00001000,0.01000000,XTZ/EUR,10,100000,False,False,False,False,False,online,
82,ATOM-BTC,ATOM,BTC,0.10000000,25000.00000000,0.00000100,0.10000000,ATOM/BTC,0.001,30,False,False,False,False,False,online,
83,XTZ-USD,XTZ,USD,1.00000000,100000.00000000,0.00010000,0.01000000,XTZ/USD,10,100000,False,False,False,False,False,online,
84,REP-BTC,REP,BTC,0.10000000,5000.00000000,0.00000100,0.00000100,REP/BTC,0.001,6,False,False,False,False,False,online,
85,ETH-USDC,ETH,USDC,0.01000000,2800.00000000,0.01000000,0.00000001,ETH/USDC,10,1000000,False,False,False,False,False,online,
86,DASH-BTC,DASH,BTC,0.01000000,1500.00000000,0.00000001,0.00100000,DASH/BTC,0.0001,10,False,False,False,False,False,online,
87,EOS-EUR,EOS,EUR,0.10000000,50000.00000000,0.00100000,0.10000000,EOS/EUR,10,100000,False,False,False,False,False,online,
